T,p,Ionization,brems,pair,photonuc,Radloss,dE/dx,CSDA Range,delta,beta,dE/dx_R
1.00E+00,1.46E+01,2.33E+00,0.00E+00,0.00E+00,4.39E-05,4.39E-05,4.65E+00,3.07E-03,0.0023,0.13661,3.11E+01
1.20E+00,1.60E+01,2.72E+01,0.00E+00,0.00E+00,4.40E-05,4.40E-05,2.72E+01,9.97E-03,0.0028,0.14944,2.72E+01
1.40E+00,1.73E+01,2.43E+01,0.00E+00,0.00E+00,4.40E-05,4.40E-05,2.43E+01,1.78E-02,0.0032,0.16119,2.43E+01
1.70E+00,1.90E+01,2.10E+01,0.00E+00,0.00E+00,4.42E-05,4.42E-05,2.10E+01,3.11E-02,0.0039,0.17725,2.10E+01
2.00E+00,2.07E+01,1.86E+01,0.00E+00,0.00E+00,4.43E-05,4.43E-05,1.86E+01,4.63E-02,0.0046,0.19186,1.86E+01
2.50E+00,2.31E+01,1.57E+01,0.00E+00,0.00E+00,4.45E-05,4.45E-05,1.57E+01,7.58E-02,0.0058,0.21376,1.57E+01
3.00E+00,2.54E+01,1.36E+01,0.00E+00,0.00E+00,4.47E-05,4.47E-05,1.36E+01,1.10E-01,0.0069,0.23336,1.35E+01
3.50E+00,2.74E+01,1.21E+01,0.00E+00,0.00E+00,4.49E-05,4.49E-05,1.21E+01,1.49E-01,0.0081,0.2512,1.18E+01
4.00E+00,2.94E+01,1.10E+01,0.00E+00,0.00E+00,4.51E-05,4.51E-05,1.10E+01,1.93E-01,0.0093,0.26763,1.05E+01
4.50E+00,3.12E+01,1.00E+01,0.00E+00,0.00E+00,4.53E-05,4.53E-05,1.00E+01,2.40E-01,0.0105,0.2829,9.53E+00
5.00E+00,3.29E+01,9.23E+00,0.00E+00,0.00E+00,4.55E-05,4.55E-05,9.23E+00,2.92E-01,0.0117,0.2972,8.72E+00
5.50E+00,3.45E+01,8.59E+00,0.00E+00,0.00E+00,4.57E-05,4.57E-05,8.59E+00,3.49E-01,0.0129,0.31066,8.05E+00
6.00E+00,3.61E+01,8.04E+00,0.00E+00,0.00E+00,4.59E-05,4.59E-05,8.04E+00,4.09E-01,0.0141,0.32339,7.49E+00
7.00E+00,3.91E+01,7.16E+00,0.00E+00,0.00E+00,4.63E-05,4.63E-05,7.16E+00,5.41E-01,0.0165,0.347,6.60E+00
8.00E+00,4.19E+01,6.48E+00,0.00E+00,0.00E+00,4.68E-05,4.68E-05,6.48E+00,6.88E-01,0.019,0.36854,5.92E+00
9.00E+00,4.45E+01,5.94E+00,0.00E+00,0.00E+00,4.72E-05,4.72E-05,5.94E+00,8.50E-01,0.0214,0.38836,5.38E+00
1.00E+01,4.70E+01,5.49E+00,0.00E+00,0.00E+00,4.76E-05,4.76E-05,5.49E+00,1.03E+00,0.0239,0.40675,4.95E+00
1.20E+01,5.18E+01,4.82E+00,0.00E+00,0.00E+00,4.84E-05,4.84E-05,4.82E+00,1.42E+00,0.029,0.43998,4.29E+00
1.40E+01,5.62E+01,4.32E+00,0.00E+00,0.00E+00,4.92E-05,4.92E-05,4.32E+00,1.85E+00,0.0341,0.46937,3.81E+00
1.70E+01,6.23E+01,3.78E+00,0.00E+00,0.00E+00,5.05E-05,5.05E-05,3.78E+00,2.60E+00,0.042,0.50792,3.30E+00
2.00E+01,6.80E+01,3.40E+00,0.00E+00,0.00E+00,5.17E-05,5.17E-05,3.40E+00,3.44E+00,0.05,0.54129,2.94E+00
2.50E+01,7.69E+01,2.96E+00,0.00E+00,0.00E+00,5.37E-05,5.37E-05,2.96E+00,5.02E+00,0.0639,0.58827,2.53E+00
3.00E+01,8.51E+01,2.65E+00,0.00E+00,0.00E+00,5.58E-05,5.58E-05,2.65E+00,6.81E+00,0.0782,0.6272,2.25E+00
3.50E+01,9.29E+01,2.44E+00,0.00E+00,0.00E+00,5.79E-05,5.79E-05,2.44E+00,8.78E+00,0.0932,0.66011,2.05E+00
